color;cathegory;amazon;title;abbr;filename;description
8C4FFF;Analytics;Amazon;Athena;;Athena;A serverless interactive query service that allows you to analyze data stored in Amazon S3 using standard SQL. No infrastructure to manage, and you pay only for the queries you run.
8C4FFF;Analytics;AWS;Data Exchange;;Data-Exchange;A service that enables customers to find, subscribe to, and use third-party data in the AWS Cloud. Ideal for businesses needing external data sources for analytics.
8C4FFF;Analytics;Amazon;Elastic MapReduce;EMR;EMR;A managed big data service that supports Apache Hadoop, Spark, Presto, and other frameworks for processing large datasets quickly at scale.
8C4FFF;Analytics;AWS;Glue;;Glue;A serverless ETL (Extract, Transform, Load) service that automates data preparation and transformation for analytics and machine learning. It includes a Data Catalog for metadata management.
8C4FFF;Analytics;Amazon;Kinesis;;Kinesis;A real-time data streaming service that collects and processes large-scale streaming data for analytics, machine learning, and monitoring. It includes Kinesis Data Streams, Kinesis Data Firehose, and Kinesis Analytics.
8C4FFF;Analytics;Amazon;Managed Streaming for Apache Kafka;MSK;Managed-Streaming-for-Apache-Kafka;A fully managed Apache Kafka service for building real-time event-driven applications. Reduces operational overhead for managing Kafka clusters.
8C4FFF;Analytics;Amazon;OpenSearch Service;;OpenSearch-Service;A managed search and analytics service (formerly Amazon Elasticsearch Service) used for log analytics, full-text search, and monitoring.
8C4FFF;Analytics;Amazon;QuickSight;;QuickSight;A cloud-powered business intelligence (BI) tool that creates interactive dashboards and reports from multiple data sources. Uses machine learning insights for anomaly detection.
8C4FFF;Analytics;Amazon;Redshift;;Redshift;A fully managed data warehouse that enables fast querying of large datasets. Uses columnar storage and massively parallel processing (MPP) to deliver high performance.
E7157B;Application-Integration;Amazon;EventBridge;;EventBridge;A serverless event bus that connects applications using events from AWS services, SaaS applications, or custom sources. Useful for real-time event-driven architectures.
E7157B;Application-Integration;Amazon;Simple Notification Service;SNS;Simple-Notification-Service;A publish-subscribe (pub/sub) messaging service for sending notifications via SMS, email, or push messages. Integrates with other AWS services like Lambda and SQS.
E7157B;Application-Integration;Amazon;Simple Queue Service;SQS;Simple-Queue-Service;A fully managed message queueing service that enables decoupling of application components for scalability and fault tolerance. Supports Standard (high-throughput) and FIFO (ordered) queues.
E7157B;Application-Integration;AWS;Step Functions;;Step-Functions;A serverless workflow orchestration service for automating and managing multi-step processes across AWS services using a visual workflow.
DD344C;Business-Applications;Amazon;Connect;;Connect;A cloud-based contact center service that allows businesses to set up customer support operations with AI-driven analytics and voice/chat capabilities.
DD344C;Business-Applications;Amazon;Simple Email Service;SES;Simple-Email-Service;A scalable email-sending platform for transactional emails, marketing campaigns, and automated notifications. Supports inbound and outbound email processing.
7AA116;Cloud-Financial-Management;AWS;Billing Conductor;;Billing-Conductor;A service that allows organizations to customize and manage billing structures, useful for companies handling multiple accounts.
7AA116;Cloud-Financial-Management;AWS;Budgets;;Budgets;A tool to set cost and usage limits with alerts when spending exceeds predefined budgets. Helps control AWS costs proactively.
7AA116;Cloud-Financial-Management;AWS;Cost and Usage Report;;Cost-and-Usage-Report;Provides detailed AWS billing data, including resource-level spending. Used for financial analysis and chargeback reports.
7AA116;Cloud-Financial-Management;AWS;Cost Explorer;;Cost-Explorer;A visual tool for analyzing AWS costs and usage over time, forecasting spending, and identifying savings opportunities.
7AA116;Cloud-Financial-Management;AWS;Marketplace;;Marketplace;An online store where customers can find, buy, and deploy third-party software solutions optimized for AWS.
ED7100;Compute;AWS;Batch;;Batch;A managed service for running batch processing jobs at scale. Dynamically provisions compute resources based on workload needs.
ED7100;Compute;Amazon;Elastic Compute Cloud;EC2;EC2;Scalable virtual servers in the cloud. Offers various instance types (On-Demand, Reserved, Spot, Dedicated) to optimize cost and performance.
ED7100;Compute;AWS;Elastic Beanstalk;;Elastic-Beanstalk;A PaaS (Platform as a Service) offering that simplifies deploying and scaling web applications. Supports Java, Python, Node.js, PHP, Ruby, and more. AWS Elastic Beanstalk is a service for deploying and scaling web applications and services. Upload your code and Elastic Beanstalk automatically handles the deployment—from capacity provisioning, load balancing, and auto scaling to application health monitoring. 
ED7100;Compute;Amazon;Lightsail;;Lightsail;A simplified cloud platform offering VPS (Virtual Private Servers) with pre-configured compute, storage, and networking for small applications and websites. It is designed for developers, startups, and small businesses who need a quick and easy way to deploy applications and websites without managing complex cloud infrastructure. 
ED7100;Compute;AWS;Local Zones;;Local-Zones;Extends AWS services closer to end-users for ultra-low latency applications, useful for gaming, media, and real-time processing.
ED7100;Compute;AWS;Outposts;;Outposts;Brings AWS infrastructure on-premises, allowing organizations to run AWS services in their own data centers with full AWS integration.
ED7100;Compute;AWS;Wavelength;;Wavelength;Enables ultra-low-latency computing at the network edge by embedding AWS compute infrastructure inside telecom 5G networks.
ED7100;Containers;Amazon;Elastic Container Registry;ECR;Elastic-Container-Registry;A fully managed Docker container registry that securely stores, manages, and deploys container images.
ED7100;Containers;Amazon;Elastic Container Service;ECS;Elastic-Container-Service;A high-performance container orchestration service for running Docker containers. Supports AWS Fargate for serverless execution.
ED7100;Containers;Amazon;Elastic Kubernetes Service;EKS;Elastic-Kubernetes-Service;A fully managed Kubernetes service that simplifies running containerized applications using Kubernetes.
C925D1;Customer-Engagement;AWS;Activate for Startups;;Activate-for-Startups;A program providing AWS credits, training, and support to startups, helping them build and scale on AWS.
C925D1;Customer-Engagement;AWS;IQ;;IQ;A marketplace connecting customers with AWS-certified experts for project-based work and consultation.
C925D1;Customer-Engagement;AWS;Managed Services;AMS;Managed-Services;A fully managed cloud operations service for enterprises, ensuring security, compliance, and infrastructure management.
C925D1;Customer-Engagement;AWS;Support;;Support;Provides technical assistance and troubleshooting through various support plans (Basic, Developer, Business, Enterprise).
C925D1;Database;Amazon;Aurora;;Aurora;A high-performance, highly available relational database compatible with MySQL and PostgreSQL. Offers up to 5x faster performance than standard databases.
C925D1;Database;Amazon;DynamoDB;;DynamoDB;A fully managed NoSQL database that offers millisecond latency, built-in security, backup, and automatic scaling. Ideal for web apps, gaming, and IoT.
C925D1;Database;Amazon;MemoryDB for Redis;;MemoryDB-for-Redis;A managed in-memory database compatible with Redis, offering low-latency and high-throughput performance for caching and real-time applications.
C925D1;Database;Amazon;Neptune;;Neptune;A graph database service optimized for relationships and complex queries. Used in fraud detection, social networks, and recommendation engines.
C925D1;Database;Amazon;Relational Database Service;RDS;RDS;A managed relational database service supporting MySQL, PostgreSQL, SQL Server, MariaDB, and Oracle. Handles backup, patching, and scaling automatically.
C925D1;Developer-Tools;AWS;AppConfig;;AppConfig;A feature of AWS Systems Manager that helps manage application configuration changes while minimizing deployment risks.
C925D1;Developer-Tools;AWS;Command Line Interface;CLI;Command-Line-Interface;A command-line tool for managing AWS services using scripts or commands instead of the AWS Management Console.
C925D1;Developer-Tools;AWS;Cloud9;;Cloud9;A cloud-based IDE (Integrated Development Environment) for writing, debugging, and running code within a browser.
C925D1;Developer-Tools;AWS;CloudShell;;CloudShell;A browser-based command-line terminal that provides direct access to AWS services without local setup.
C925D1;Developer-Tools;AWS;CodeArtifact;;CodeArtifact;A fully managed artifact repository service that stores and retrieves software packages like Maven, NPM, and PyPI.
C925D1;Developer-Tools;AWS;CodeBuild;;CodeBuild;A fully managed CI/CD service that compiles source code, runs tests, and produces deployable software artifacts.
C925D1;Developer-Tools;AWS;CodeCommit;;CodeCommit;A secure, scalable, and fully managed Git-based source control repository for private projects.
C925D1;Developer-Tools;AWS;CodeDeploy;;CodeDeploy;Automates application deployments to EC2, on-premises servers, and Lambda functions with rollback capabilities.
C925D1;Developer-Tools;AWS;CodePipeline;;CodePipeline;A CI/CD service that automates the build, test, and deployment processes for faster software delivery.
C925D1;Developer-Tools;AWS;CodeStar;;CodeStar;A platform that helps quickly develop, build, and deploy applications in AWS with integrated CI/CD tools.
C925D1;Developer-Tools;AWS;X-Ray;;X-Ray;A tracing service that helps analyze and debug distributed applications by visualizing service interactions.
01A88D;End-User-Computing;Amazon;AppStream;;AppStream;A managed service that securely delivers virtualized applications to users through a web browser.
01A88D;End-User-Computing;Amazon;WorkSpaces;;WorkSpaces;A fully managed Desktop-as-a-Service (DaaS) that provides cloud-based virtual desktops.
01A88D;End-User-Computing;Amazon;WorkSpaces Web;;WorkSpaces;A secure browser-based access solution for corporate web applications, reducing endpoint risks.
DD344C;Front-End-Web-Mobile;AWS;Amplify;;Amplify;A set of tools and services to build, deploy, and host scalable mobile and web applications. Supports authentication, APIs, and real-time data.
